Taxonomy Name,MR
Eukaryota (superkingdom),550018
Oligohymenophorea (class),394288
Nymphaea colorata (species),277944
Brachionus plicatilis (species),183010
Paramecium tetraurelia (species),116263
Tetrahymena thermophila SB210* (strain),105148
Ciliophora (phylum),85375
Pseudocohnilembus persalinus (species),64463
Hordeum vulgare subsp. vulgare (subspecies),63106
Intramacronucleata (subphylum),54702
Hyalella azteca (species),52073
Hymenostomatida (order),47745
Ichthyophthirius multifiliis* (species),40782
Opisthokonta (clade),38089
Sar (clade),33067
Alveolata (clade),31341
Bilateria (clade),29653
Daphnia pulex (species),25789
Eumetazoa (clade),17951
Stentor coeruleus (species),13514
Protostomia (clade),13443
Stylonychia lemnae (species),11243
Pentapetalae (clade),10627
Brachionus (genus),8903
Sepia pharaonis (species),7560
Fungi (kingdom),6238
Mesangiospermae (clade),6189
Neoptera (infraclass),5979
Sporadotrichida (order),5094
Magnoliopsida (class),4851
Ecdysozoa (clade),4781
Spiralia (clade),4401
Arthropoda (phylum),4231
Stylophora pistillata (species),4061
Metazoa (kingdom),3972
Tetrahymena thermophila (species),3840
Oomycota (class),3645
leotiomyceta (clade),3005
Acipenser ruthenus (species),2981
Actinidia chinensis var. chinensis (varietas),2698
Acanthamoeba castellanii str. Neff* (strain),2627
Guillardia theta CCMP2712* (strain),2604
Bodo saltans (species),2470
Hydra vulgaris (species),2410
Phaeodactylum tricornutum (species),2401
Clavispora lusitaniae ATCC 42720* (strain),2382
Dissostichus mawsoni (species),2214
Tritrichomonas foetus (species),2120
Babesia ovata (species),2043
Mortierellaceae (family),2040
Entelegynae (clade),2032
Nematostella vectensis (species),1973
Ploima* (order),1920
Thalassiosira oceanica (species),1908
Euteleostomi* (clade),1889
Halicephalobus sp. NKZ332 (species),1717
Carpinus fangiana (species),1614
Exaiptasia diaphana (species),1605
Halteria grandinella (species),1496
Phaeomoniella chlamydospora* (species),1442
Nicrophorus vespilloides (species),1424
Jimgerdemannia flammicorona (species),1335
Porphyridium purpureum (species),1297
Discoba (clade),1273
Phytomonas sp. isolate EM1 (species),1229
Dictyostelia (clade),1151
Sordariomycetes (class),1138
Octopus (genus),1135
Thecamonas trahens ATCC 50062* (strain),1116
Planoprotostelium fungivorum (species),1109
Viridiplantae (kingdom),1081
Cyprideis torosa (species),1058
Clupeocephala (no rank),1056
Branchiostoma belcheri (species),1029
Perkinsus olseni (species),1023
Dorcoceras hygrometricum (species),1011
Holometabola (cohort),988
Plasmodiophora brassicae* (species),982
Dikarya (subkingdom),975
Acropora digitifera (species),972
commelinids (clade),952
Hesseltinella vesiculosa* (species),951
Lophotrochozoa (clade),945
Clavispora lusitaniae (species),933
Entamoeba invadens IP1* (strain),913
Pichia (genus),902
Colletotrichum tanaceti (species),889
Trypanosoma (genus),870
Saccharomycetales* (order),865
Sauria* (clade),855
Lupinus albus (species),854
Naegleria fowleri (species),853
Ectocarpus (genus),836
Crassostrea gigas (species),833
Lingula anatina (species),832
Amoebozoa (clade),820
Aphanomyces invadans (species),807
Stegomyia (subgenus),804
Fungi incertae sedis (no rank),803
Vitrella brassicaformis CCMP3155* (strain),793
Debaryomycetaceae (family),787
