Taxonomy Name,MR
Daphnia magna (species),98436
Eukaryota (superkingdom),72003
Phaeodactylum tricornutum (species),55843
Naviculales (order),16538
Fistulifera solaris (species),9131
Bacillariophyta (phylum),5328
Phaeodactylum tricornutum CCAP 1055/1* (strain),4394
Bacillariophycidae (clade),4270
Chlorella clade (clade),3501
Chlorella variabilis (species),3120
Aspergillus novoparasiticus (species),3101
Mitosporidium daphniae* (species),2816
Beta vulgaris subsp. vulgaris (subspecies),2668
Lupinus albus (species),2418
Daphnia (genus),2371
Percomorphaceae (clade),2327
Fragilariopsis cylindrus CCMP1102* (strain),2014
Saprolegniaceae (family),1974
Opisthokonta (clade),1832
Chlorella sorokiniana (species),1815
Thalassiosira pseudonana (species),1502
Daphnia pulex (species),1338
Dikarya (subkingdom),1124
Thalassiosira oceanica (species),1123
Micractinium conductrix (species),1104
Chlorella vulgaris (species),1014
Chlorella (genus),846
Sar (clade),816
Stramenopiles (clade),763
Takifugu rubripes (species),640
Thalassiosira (genus),567
Pentapetalae (clade),567
Eumetazoa (clade),499
Camellia sinensis (species),494
Chlorellaceae (family),475
core chlorophytes (clade),444
Viridiplantae (kingdom),362
Castanea mollissima (species),332
Ecdysozoa (clade),328
Porphyridium purpureum (species),291
Thalassiosira pseudonana CCMP1335* (strain),281
Brugia timori (species),251
Darwinula stevensoni* (species),245
Oikopleura dioica (species),241
Pseudo-nitzschia multistriata (species),236
Daphniidae (family),213
Peronosporaceae (family),208
Salpingoeca rosetta (species),188
Perkinsus (genus),187
Trebouxiophyceae (class),169
Bilateria (clade),164
Magnoliopsida (class),161
Bacillariaceae* (family),153
Helianthus annuus (species),152
Phytophthora (genus),152
Gracilariopsis chorda (species),122
Chlorophyta (phylum),115
Protostomia (clade),112
Monosiga brevicollis MX1* (strain),109
Ochrophyta (clade),104
Oomycota (class),102
Rhinolophus ferrumequinum (species),102
Pancrustacea (clade),97
Holometabola (cohort),97
Arthropoda (phylum),91
Homo sapiens (species),90
Ensete ventricosum (species),84
rosids (clade),76
Hondaea fermentalgiana* (species),74
Planoprotostelium fungivorum (species),73
Pangasianodon hypophthalmus (species),71
Fungi (kingdom),70
Salpingoecidae* (family),65
Clavulina sp. PMI_390 (species),61
Klebsormidium nitens (species),56
Mesangiospermae (clade),56
Aedes albopictus (species),55
Symbiodinium microadriaticum (species),51
Chrysochromulina tobinii (species),50
Spodoptera exigua (species),50
Smittium (genus),47
Heterolobosea (phylum),46
Simiiformes (infraorder),44
Fragilariophycidae (subclass),43
Cylindrotheca closterium (species),43
Aphanomyces invadans (species),40
Streptophytina (subphylum),38
Capsaspora owczarzaki ATCC 30864* (strain),38
Gomphonemataceae (family),37
Oligohymenophorea (class),34
Nymphaea colorata (species),33
Brachionus plicatilis (species),33
Aphanomyces (genus),32
Hyalella azteca (species),32
Tanacetum cinerariifolium (species),31
Pezizomycotina (subphylum),29
Metazoa (kingdom),28
Emiliania huxleyi CCMP1516* (strain),28
Chordata (phylum),28
Anthemideae (tribe),28
Guillardia theta CCMP2712* (strain),27
Anomopoda (infraorder),27
Aphanomyces astaci (species),26
Hominoidea (superfamily),25
Fungi incertae sedis (no rank),23
Heterostelium album PN500* (strain),23
