Taxonomy Name,MR
Brachionus plicatilis (species),251638
Eukaryota (superkingdom),150474
Nymphaea colorata (species),92451
Oligohymenophorea (class),91231
Tetrahymena thermophila SB210* (strain),38954
Bilateria (clade),37385
Chlorophyceae (class),30079
Paramecium tetraurelia (species),26238
Ciliophora (phylum),23321
Eumetazoa (clade),22032
Viridiplantae (kingdom),20333
Hymenostomatida (order),20261
Sphaeropleales (order),17405
Protostomia (clade),16856
Hordeum vulgare subsp. vulgare (subspecies),14916
Opisthokonta (clade),12858
Pseudocohnilembus persalinus (species),12601
Brachionus (genus),12584
Daphnia pulex (species),11515
Intramacronucleata (subphylum),11433
Alveolata (clade),7280
Spiralia (clade),6850
core chlorophytes (clade),6627
Ichthyophthirius multifiliis* (species),6203
Microthlaspi erraticum (species),6058
Ensete ventricosum (species),5094
Sar (clade),4949
Beta vulgaris subsp. vulgaris (subspecies),4887
Daphnia magna (species),3795
Trebouxia sp. A1-2 (species),3194
Stentor coeruleus (species),3071
Fungi (kingdom),2737
Tetrahymena thermophila (species),2614
Saitoella complicata NRRL Y-17804* (strain),2234
Hydra vulgaris (species),1947
Zancudomyces culisetae* (species),1943
Lophotrochozoa (clade),1940
Magnoliopsida (class),1891
Arthropoda (phylum),1799
Chlamydomonadales (order),1490
Stylonychia lemnae (species),1323
Metazoa (kingdom),1285
Nematostella vectensis (species),1274
Euteleostomi* (clade),1217
Cyprinus carpio (species),1180
Entamoeba invadens IP1* (strain),1145
Ecdysozoa (clade),1119
Monoraphidium neglectum (species),1076
Scenedesmus sp. PABB004 (species),957
Ploima* (order),891
Chromadorea (class),848
Raphidocelis subcapitata (species),848
[Candida] boidinii (species),844
Chlamydomonas reinhardtii (species),838
Fungi incertae sedis (no rank),703
Amphimedon queenslandica (species),680
Tetrabaena socialis* (species),677
Sporadotrichida (order),621
Candida tropicalis MYA-3404 (strain),589
Aethina tumida (species),582
Metschnikowiaceae (family),570
Dimorphilus gyrociliatus (species),566
Metschnikowia aff. pulcherrima (species),565
Dikarya (subkingdom),563
Neoptera (infraclass),560
Coccomyxa subellipsoidea C-169* (isolate),557
Triticum (genus),551
Lingula anatina (species),549
Lottia gigantea (species),547
Neognathae (infraclass),547
Agaricomycetes (class),530
Holometabola (cohort),525
Mollusca (phylum),522
Pteriomorphia (clade),522
Brachionus koreanus (species),505
Philasterida (order),500
Chlorella variabilis (species),496
Chordata (phylum),487
Saprolegniaceae (family),473
leotiomyceta (clade),468
Mesangiospermae (clade),465
Amniota (clade),464
Plasmodium (Vinckeia) (subgenus),459
Aedes albopictus (species),458
Anthemideae (tribe),451
Streptophytina (subphylum),441
Glomeromycetes (class),438
Thalassiosira oceanica (species),438
