Taxonomy Name,MR
Brachionus plicatilis (species),53670
Eukaryota (superkingdom),21679
Phaeodactylum tricornutum (species),19258
Bilateria (clade),8399
Eumetazoa (clade),5102
Oligohymenophorea (class),5035
Naviculales (order),4436
Protostomia (clade),4218
Tetrahymena thermophila SB210* (strain),3825
Beta vulgaris subsp. vulgaris (subspecies),2888
Opisthokonta (clade),2765
Brachionus (genus),2554
Stylonychia lemnae (species),2520
Fistulifera solaris (species),2274
Vitrella brassicaformis CCMP3155* (strain),2206
Ciliophora (phylum),1937
Paramecium tetraurelia (species),1903
Clupeocephala (no rank),1832
Oncorhynchus tshawytscha (species),1617
Intramacronucleata (subphylum),1334
Spiralia (clade),1276
Capsicum (genus),1076
Nymphaea colorata (species),1074
Mucoromycota (phylum),924
Thalassiosira pseudonana (species),857
Hydra vulgaris (species),777
Pseudocohnilembus persalinus (species),764
Daphnia pulex (species),753
Fragilariopsis cylindrus CCMP1102* (strain),747
Alveolata (clade),728
Ploima* (order),718
Sar (clade),627
leotiomyceta (clade),602
Chilodonella uncinata* (species),593
Bacillariophyta (phylum),593
Hymenostomatida (order),590
Stentor coeruleus (species),565
Bacillariophycidae (clade),532
Ichthyophthirius multifiliis* (species),498
Daphnia magna (species),490
Lophotrochozoa (clade),415
Phaeodactylum tricornutum CCAP 1055/1* (strain),361
Metazoa (kingdom),350
Hordeum vulgare subsp. vulgare (subspecies),344
Arthropoda (phylum),320
Coemansia reversa NRRL 1564* (strain),309
Ensete ventricosum (species),278
Viridiplantae (kingdom),271
Ecdysozoa (clade),258
Chlorella sorokiniana (species),254
Lupinus albus (species),230
Holometabola (cohort),228
Saprolegnia (genus),226
Fungi (kingdom),211
Rhamnella rubrinervis (species),210
Acanthamoeba castellanii str. Neff* (strain),208
Sporadotrichida (order),204
Chlorella variabilis (species),192
Euteleostomi* (clade),185
Thalassiosira oceanica (species),180
Hexacorallia (subclass),165
Macrostomum lignano (species),153
Chlorella clade (clade),148
Mollusca (phylum),144
Lingula anatina (species),142
Homo sapiens (species),142
Clavispora lusitaniae ATCC 42720* (strain),138
Exaiptasia diaphana (species),138
Phytophthora (genus),137
Deuterostomia (clade),127
Neoptera (infraclass),125
Thalassiosira (genus),119
Pocilloporidae (family),117
Brachionus koreanus (species),111
Stramenopiles (clade),106
Boreoeutheria (clade),104
Pentapetalae (clade),101
Tetrapoda (clade),100
Magnoliopsida (class),98
Parasteatoda tepidariorum (species),94
Pancrustacea (clade),93
Pyropia yezoensis (species),93
Mesangiospermae (clade),91
Trichoplax (genus),91
Rhinolophus ferrumequinum (species),91
Pteriomorphia (clade),88
Aplysia californica (species),83
Naegleria fowleri (species),82
Chlorella vulgaris (species),79
Labeo rohita (species),77
Brachionus calyciflorus (species),76
Scleractinia (order),75
Crustacea (subphylum),74
Cinara cedri (species),74
Gnathostomata (clade),74
Mizuhopecten yessoensis* (species),73
Trypanosomatidae* (family),73
Micractinium conductrix (species),72
Saccoglossus kowalevskii (species),69
Chordata (phylum),69
Mytilus galloprovincialis (species),68
Ipomoea nil (species),66
Branchiostoma belcheri (species),64
Mytilus coruscus (species),63
Verticillium dahliae (species),63
Glomeromycetes (class),62
Naumovozyma castellii CBS 4309* (strain),61
Anneissia japonica (species),60
Rhodamnia argentea (species),60
Phallusia mammillata (species),59
Gadus morhua (species),59
Apostichopus japonicus (species),58
Hydnomerulius pinastri MD-312* (strain),57
Monoraphidium neglectum (species),56
Syngnathidae (family),55
Biomphalaria glabrata (species),54
Zootermopsis nevadensis (species),54
Leishmania tarentolae (species),52
Daphnia (genus),52
Stegodyphus (genus),51
Agaricomycotina (subphylum),51
Rhizoclosmatium globosum (species),51
Orchesella cincta (species),51
Naegleria (genus),50
Embryophyta (clade),50
Simiiformes (infraorder),50
Capitella teleta (species),49
Thripinae (subfamily),48
Giardia intestinalis (species),48
Mytilus (genus),48
Ochotona princeps (species),48
Euphyllophyta (clade),47
Naematelia encephala (species),47
Ditrysia (clade),46
Liparis tanakae (species),45
Saprolegniaceae (family),45
Fusarium (genus),45
Schistosomatidae (family),45
saccharomyceta (clade),43
Cyprideis torosa (species),42
Capsaspora owczarzaki ATCC 30864* (strain),42
Oomycota (class),42
Conidiobolus coronatus NRRL 28638* (strain),41
Dikarya (subkingdom),41
Folsomia candida (species),41
Pecten maximus (species),40
Coleoidea (subclass),40
Bugula neritina (species),40
Megachile rotundata (species),39
Gigaspora (genus),39
Sordariomycetes (class),39
Stylophora pistillata (species),39
Patiria miniata (species),39
Cafeteria roenbergensis* (species),39
Poecilia (genus),38
Nicotiana* (genus),38
Thecamonas trahens ATCC 50062* (strain),37
Ancylostoma ceylanicum (species),37
Amniota (clade),37
Camponotus floridanus (species),37
Halteria grandinella (species),36
Phytomonas sp. isolate Hart1 (species),36
Darwinula stevensoni* (species),36
Tetrahymena thermophila (species),35
Pterygota (subclass),35
Brachionus rotundiformis (species),35
Gastropoda (class),35
Paramecium* (genus),35
Rozella allomycis CSF55* (strain),34
Monosiga brevicollis MX1* (strain),34
Naegleria gruberi (species),34
Trebouxia sp. A1-2 (species),33
Dendronephthya gigantea (species),33
Neopterygii (subclass),33
Dermatophagoides pteronyssinus (species),33
Castanea mollissima (species),33
Pectinidae (family),32
Diversispora epigaea (species),32
Reticulomyxa filosa* (species),31
Stegodyphus mimosarum (species),31
